,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
194,M00296,Darśanopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Darśana Upaniṣat,ilxM00032,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,iti daśamaḥ khaṇḍaḥ || śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | darśanopaniṣadvyākhyā likhitā brahmamātragā || darśanopaniṣadvyākhyāgranthastu dviśataṃ smṛtaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe navatisaṃkhyāpūrakaṃ darśanopaniṣadvivaraṇaṃ saṃpūraṇam,
195,M00521,Dāśarathīyatantram,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava']",,,,,, iti śrīmadanuttarabrahmatatvarahasye dāśarathīye taṃtre vedasārārthasaṃgrahe uttarabhāge saubhāgyavidhodaye rājavidyāmāhātmye śāstrarahasyakathanaṃ nāma paṃcacatvārīṃśodhyāyaḥ,almost at end
196,M00234,Dīkṣādarśa,,,,,,,,,,,,,"['śaiva', 'śaiva-siddhānta']",Vedajñāna,mbP0009,colophon,,,iti śrī vyāghrapuranivāsī vāmadevātmaja vedajñāna viracita dīkṣādarśassamāptaḥ || śrīmaddevaśikhāmaṇigurubhyo namaḥ || śrīmat ṣaṇmukhagurave namaḥ,
197,M00245,Dīkṣāpaddhati,,,,,,incomplete,lacking explicit+colophon,,,,,,"['śaiva', 'Paddhati']",,,,,,no,
198,M00015,Dīkṣāprakāśa,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Jīvanātha,mbP0042,colophon,,,iti śrīśambhunāthātmajaśrījīvanāthaviracito dīkṣāprakāśaḥ samāptaḥ /// iti śivamāhātmyavarṇanam | samāpto'yaṃ granthaḥ ,almost at end /// end
199,M00543,Dīkṣāvidhi,,,,,,uncertain,yes? - title in colophon spelled differently,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,mate nātmaka vā loke yatsarvatra viduṣyati | (***?) pāpa na kurvīta anityaṃ khalu(?) jīvitaṃ | pratyaṃ neṣṭavidhiḥ samāptāḥ ,
200,M00279,Dīkṣottara,,,,,of the nisvāsakārikā ,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti niśvāsakārikāyāṃ dīkṣottare prakaraṇe ekonaviṃśatiḥ paṭalaḥ | || samāpto'yaṃ saṃhitā iti || idaṃ pañcasūtrojvalaṃ samudāyena dvādaśasāhasrikaṃ samāptaṃ niśvāsakārikākhyaṃ tantram || oṃ namo namaḥ | oṃ huṃ namaḥ | oṃ haṃ sa | oṃ paramaśivena likhitam niśvāsakārikākhyaṃ tantram | oṃ hariḥ oṃ | oṃ śiva śiva śiva |,
201,M00544,Dīpayāgavidhi,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,iti śrīkulaśāsane ūrddhvāmnāyamate dīpajāgavidhiḥ samāptaḥ ///  iti tantrarāje gurustava samāptaṃ /// iti kulasamayārasvalpacarudīpayā pratyāraṃbhavidhi samāptaṃ /// iti śrījagatānandavirataṃ śrīmahātripurasundaryā stotraṃ samāptaṃ,in middle
202,M00545,Durgānityārcanakrama,,,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,iti nityārcanakramaḥ saṃkṣepaḥ,
203,M00340,Durgārcanaṣṛti,,,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",Lakṣmīnārāyaṇa Gosvāmī,mbP0043,colophon,,,ityargalapura nivāsi gauḍa jātīya bhāradvāja vaṃśodbhavavidvadvara gosvāmyupāhva paṃ(0) bulākhīrāma sūnunā bhū(0) pū(0) śrīvidyādharmavarddhinī pāṭhaśālāyāḥ karmakāṇḍa yajurvedādhyāpakena vidyābhūṣaṇa karma kāṇḍamaṇītyupādhi vibhūṣitena śrīlakṣmīnārāyaṇa gosvāminā saṃgrahītā durgārcana sṛtiḥ samāptā /// afterwards - vijayā daśamyāṃ śamī pūjanam /// atha śrī durgā saptaśatī pāṭhāṃtargata prācīna śloka upalabdha,towards end
204,M00166,Devīnāmavilāsa,,Śāstrī M K,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",Sāhib Kaul,mbP0018,colophon,,,iti śrīnāmavilāsaḥ saṃpūrṇaḥ | kṛtiriyaṃ śrīmacchrīmahāmāheśvarācāryavaryasakaladaiśikavaravarendrapūjyatamacaraṇasarojasāhibakaulapādānām,
205,M00507,Devīpūjā,,,,,,,,,,,,,['tantric / āgamic literature'],,,,,,iti durgāpūjāsampūrṇā /// iti śrīpaṇḍitakṛṣṇakaviracitaḥ śrīmahārājñīstavaḥ sampūrṇaḥ /// iti śrīmadalakṣyeśvarī paraparyāyasāhibha dararūpabhavānī vākyamañjarī sampūrṇā /// iti sarasvatīstutiḥ,4 parts
206,M00310,Devīrahasya,,Harabhaṭṭa Śastrī,,,with pariśiṣṭas,,,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,2 PARTS - iti śrīrudrayāmalatantrāntargata śrīdevīrahasye daśamīvidhinirūpaṇaṃ ṣaṣṭitamaḥ paṭalaḥ || samāptaṃ cedaṃ devīrahasyatantram /// iti śrīdakṣiṇāmūrtimuniviracite uddhārakośe sarvāgamasāre ṣoḍaśadevī saptadevī saptakumāra navagraha tridevī khecarīdhyānakośanirūpaṇaṃ saptamaḥ kalpaḥ || samāptaścāyamuddhārakośa iti śivam,
,ilxM00033,Dviśatikālottara,,,,,,,,,,,,,,,,,,,,
207,M00200,Dviśatikālottara Vṛtti,,,,,,incomplete,lacking incipit,colophon,,ilxM00033,commentary,including the mūla,"['tantra / āgama', 'śaiva', 'śaiva-siddhānta']",Aghoraśiva,mbP0028,colophon,,,iti lakṣadvayādhyāpaka śrīmadaghora śivācāryaviracitāyāṃ dviśatikālottara vṛttau prāsādanirṇaya prakaraṇam || dviśatikālottara vṛttiḥ samāptā |,2 parts
,ilxM00034,Dhyānabindūpaniṣat,,,,,,,,,,,,,,,,,,,,
208,M00106,Dhyānabindūpaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Dhyānabindu Upaniṣat,ilxM00034,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ dhyānabindoḥ sphuṭaṃ laghu || dhyānabinduvivaraṇaṃ triṃśadadhiśatatrayam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe ekonacatvāriṃśatsaṃkhyāpūrakaṃ dhyānabindūpaniṣadvivaraṇaṃ saṃpūrṇam,
209,E0008,Dhyānaratnāvali,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,,,ṣoḍaśagrahadhyānaṃ samāptaḥ /// ṣaḍvigrahaviṣaṭtriṃśat vigrahadhyānaṃ samāptaḥ,in middle
210,M00542,Dhvajāvarohaṇavarṣavarddhanavidhi,,,,,,icomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,, iti dhvajāvarohanavarṣavarddhanavidhisamāptaṃ,in middle
,ilxM00035,Nareśvaraparīkṣā,,,,,,,,,,,,,,Sadyojyoti,mbP0011,"catalog, explicit",,,,
211,M00039,Nareśvaraparīkṣā Prakāśa,,Śāstrī M K,,,,,,colophon,,ilxM00035,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",Rāmakaṇṭha,mbP0013,colophon,,,iti śrīnārāyaṇakaṇṭhasūnubhaṭṭarāmakaṇṭhakṛtau nareśvaraparīkṣāprakāśe paradarśanaprasiddheśvarapratikṣepākhyaṃ tṛtīyaṃ kāṇḍam || sampūrṇaścāyaṃ nareśvaraparīkṣāprakāśaḥ,
212,I00026,Navagrahadhyānam,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,,,no,
213,M00555,Navapīṭhāṣṭamātṛkārādhanavidhi,,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,atha navapīṭha aṣṭamātṛkā ārādhanavidhi likhyate /// mālinīdaṇḍakastotraṃ samāptaḥ / iti śivaśaktisamarasatva mahāmāyā stotraṃ samāptaḥ / iti śrīpīṭhanṛnnaya devyā smṛte pīṭhāvatāla stotraṃ samāptaḥ /// iti pithipūjāvidhi samāptaḥ,at beginning /// in middle /// at end
214,M00628,Navārṇavacaṇḍipañjāṅga,,,,,,,,,,,,,['śaiva'],,,,,,itiśrīrudrayāmaletaṃtrenavārṇavacaṃḍīpaṃcāgastotraṃsamāptam || oṃ śubhamastusarvajagatām ,
,ilxM00036,Nāṭyaśāstra,,,,,,,,,,,,,,Bharata,mbP0112,colophon,,,,
215,M00359,Nāṭyaśāstra Abhinavabhāratī Vol. 1,,K. S. Ramaswami Shastri,,,,,,colophon,,ilxM00036,commentary,including the mūla,['tantric / āgamic literature'],Abhinavagupta,mbP0017,colophon,,,iti śrībhāratīye nāṭyaśāstre bhāvavyañjako nāma saptamo'dhyāyaḥ,
216,M00361,Nāṭyaśāstra Abhinavabhāratī Vol. 2,,K. S. Ramaswami Shastri,,,,,,colophon,,ilxM00036,commentary,including the mūla,['tantric / āgamic literature'],Abhinavagupta,mbP0017,colophon,,,iti bhāratīye nāṭyaśāstre daśarūpanirūpaṇaṃ nāmādhyāyo'ṣṭādaśaḥ samāptaḥ || iti vimalaśiśiradīdhitikalitaśiromaṇḍanāṅghridāsyacaṇaḥ | abhivanagupto guptaṃ daśasvarūpaṃ satattvakaṃ vyavṛṇot || iti śrīmanmahāmāheśvarābhinavaguptācāryaviracitāyāṃ nāṭyavedavivṛtāvabhinavabhāratyāṃ daśarūpakavidhānaṃ nāmāṣṭādaśo'dhyāyaḥ,
217,M00362,Nāṭyaśāstra Abhinavabhāratī Vol. 3,,K. S. Ramaswami Shastri,,,,,27 chapters,colophon,,ilxM00036,commentary,including the mūla,['tantric / āgamic literature'],Abhinavagupta,mbP0017,colophon,,, iti bhāratīye nāṭyaśāstre siddhivyañjako nāma saptaviṃśo'dhyāyaḥ /// iti śrīkāśmīramahāmāheśvarācāryābhinavaguptācāryaviracitāyāṃ abhinavabhāratyāṃ nāṭyavedavṛttau siddhyadhyāyaḥ saptaviṃśaḥ - plus an appendix of ch.33,almost at end
,ilxM00037,Nādabindūpaniṣat,,,,,,,,,,,,,,,,,,,,
218,M00111,Nādabindūpaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Nādabindu Upaniṣat,ilxM00037,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ nādabindoḥ sphuṭaṃ laghu | nādabinduvivaraṇaṃ pañcāśadadhikaṃ śatam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe aṣṭatriṃśatsaṃkhyāpūrakaṃ nādabindūpaniṣadvivaraṇaṃ saṃpūrṇam,
219,M00526,Nādānusandhāna,,,,,,,,,,,,,"['tantric / āgamic literature', 'yoga']",,,,,,iti śrīyogaśāstre śrīpārvatīśvarasaṃvāde nādānusaṃdhānaṃ saṃpūrṇam,
,ilxM00038,Nigamasāra,,,,,,,,,,,,,,,,,,,,
220,M00321,Nigamasāra Nirṇaya,,,,,,,,colophon,,ilxM00038,commentary,including the mūla,"['compendium', 'tantric / āgamic literature', 'kaula', 'kaula later post 1100 AD']",Ramāramaṇa,mbP0044,colophon,Śrī Ramāramaṇa Deva Śarma,colophon,śrīramāramaṇadevaśarmaṇā nirmite nigamasāranirṇaye | kālikāmanuvidhānapūjanadhyāna bhuvibhṛtakaḥ paṭaloyaṃ,
221,I00023,Nityārcanavidhi Vāsanārcanavidhi,,,,,from vātulatantra,fragments,fragments/excerpts,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti vātula tantre sahastrasaṃhitāyā nityārcana paṭalaḥ || śrīvaśrīkaṇṭhapparāya svahasta likhitaṃ vāsanārcanai saṃpūrṇam,at end
222,M00527,Nityakarmavidhi,,Keśava Bhaṭṭa,,,,,various sections; no mention of author of collection,,,,,,"['tantric / āgamic literature', 'śaiva', 'Paddhati']",Laugākṣi,mbP0113,catalog,,,atha snānavidhiḥ || atha sandhyopāsanā ||  naivedyamaṃtrāḥ || viṣṇupañcāyatanapūjāvidhi || atha paṃcagavyavidhiḥ || bhojanavidhiḥ || atha gurustutiḥ || atha mahāgāyatrīstutiḥ || prārthanāstutiḥ || atha sarasvatīstutiḥ - kālidāsakṛtā || atha gaurīstutiḥ || atha mukundamālāstutiḥ - śrīkulaśekhararājñākṛtā || atha śrīkṛṣṇalīlā || atha jayastutirviṣṇoḥ - viṣṇustutiḥ || govindāṣṭakaṃ - iti śrīśaṃkarācāryakṛtaṃ || iti abhinavaguptā'cāryakṛtā śivastutiḥ,
223,M00316,Nityākaulatantra,,,,,,incomplete,,,Nityātantra,,,,"['tantric / āgamic literature', 'tantra / āgama', 'kaula', 'śākta']",,,,,,iti nityākaula pañcamapaṭalaḥ,in middle
,ilxM00039,Nityāṣoḍaśikārṇavatantra,,,,,,,,,,,,,,,,,,,,
224,M00052,Nityāṣoḍaśikārṇavatantra Vyākhyāna Setubandha,,Abhyaṃkara K V,,,,,,colophon,,ilxM00039,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama', 'śākta', 'śrī-vidyā']",Bhāskararāya,mbP0062,colophon,,,iti śrīmatpadavākyapramāṇapārāvārapārīṇadhurīṇanikhilatantrasvatantraśrīmadgambhīrarājabhāratīdikṣitasūnunā bhāsurānandanāthadīkṣābhidhānena bhāskararāyeṇa praṇīto nityāṣoḍaśikārṇavavyākhyānātmā setubandhaḥ saṃpūrṇaḥ,
225,M00266,Niruttaravāda,,,,,,,,,,,,,['tantric / āgamic literature'],,,,,,iti śrīparamarahasye (* * * *?) de(*)ra(*) sro(*) vi(*)rga(*)u(*)de(*)ni(*)yo(*)ñca(*) || samāptaṃ midaṃ niru(*?)ravadamiti śubham ,
226,M00127,Nirvaṇatantra,,,,,,,14 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrīnirvāṇataṃtre caṃḍikāśaṃkarasaṃvāde avadhūtāśramavivaraṇaṃ nāma caturdaśaḥ paṭalaḥ || samāptaḥ | śubham,
227,M00557,Nirvāṇaguhyakālīpūjā,,,,,,uncertain,incomplete?,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,no,
228,M00267,Nirvāṇayogottara,,,,,,incomplete,,,,,,,['tantric / āgamic literature'],,,,,, i(*)śrī(*)rva(*)ddhā(*)ni(*)ṇa(*)go(*)raṃ(*)mā(*)m || śivaṃ bhavatu,at end
229,M00251,Niśvāsakārikā,version 1,,M00251=M00280,,,incomplete,lacking incipit (starts with ch.11) + missing file of 2nd part,,Niśvāsakārikātantra,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti niśvāsakārikāyāṃ tripañcāśatpaṭalaḥ,
230,M00280,Niśvāsakārikā,version 2,,M00251=M00280,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,,
231,I00014,Nīlakaṇṭhaṣaṭkarmaprayoga,,,,,,uncertain,incomplete?,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,"Following topics are present (also marked within text): 1. bhedanamantra in Tamil 2. uccāṭanamantra in Tamil 3. bālāyantram 4. brahmādhyānam 5. sarasvatīdhyānam 6. mahāśāstāpūjā 7. śrīcidmbarapañcākṣāramahāmantrasya dhyānam 8. durgapūjā 9. pañcapūjā 10. dakṣiṇāmūrtidhyānam 11. śivastotram 12. umāmaheśvarastotram 13. pitṛ-udavāhanam 14. gaṅgādharāṣṭakam 15. pañcāsanam 16. nīlamālāmantram 17. nīlakaṇṭhapryogavidhiviṣaśānti in Tamil 18. nīlakaṇṭham-māhanayantram,raktavarṇadhyānam",list of topics
,ilxM00095,Netratantra,,,,,,,,,,,,,,,,,,,,
232,M00038,Netratantra Uddyota,,Malaviya Sudhakar,,,,,,colophon,,ilxM00094,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva']",Kṣemarāja,mbP0049,colophon,,,samāpto'yaṃ netroddyotākhyo granthaḥ || kṛtirmahāmāheśvaraśrīmadabhinavaguptapādapadmaparāgāsvādatatparaśrīkṣemarājasyeti śivam ,
,ilxM0110,Pañcaratna,,,,,,,,,,,,,,Sosala Vīraṇa Ārādhya,mbP0167,colophon,,,,
233,M00603,Pañcaratnavyākhyā,,,,,,fragments,collection of excerpts,,"Tantrasāraprakāśikā, Tārakadīpikā, Śivatattvaprakāśikā, Śrutyarthaprakāśikā",ilxM0110,commentary,including the mūla,"['śaiva', 'vīraśaiva']",Revaṇa Ārādhya,mbP0166,colophon,,,1) iti śrīmatsosalavīraṇārādhyasya kṛteḥ tantrasāra pañcaratnasya vyākhyā revaṇārādhya viracitā tantrasāra prakāśikākhyā parisamāptā /// 2) iti śrīmadveda vedaśiraḥ śivāgamapurāṇaprabhṛti pravīṇa śrīmatsosalivīraṇārādhyasya kṛteḥ tārakapañcaratnasya vyākhyārevaṇārādhyaviracitā tārakapradīpikāvyā parisamāptā /// 3) iti śrīmadvedavedaśiraḥ śivāgamapurāṇa prabhṛti pracuraśāstrapravīṇa śrīmatsosalivīraṇārādhyadeśika kuñjarasya kṛteḥ śivarahasya pañcaratnasya vyākhyā revaṇārādhya viracitā śivatatvaprakāśikā parisamāptā /// 4) iti śrīmadveda veda śiraḥ śivāgama purāṇa prabhṛti pravīṇa śrīmatsosali vīraṇārādhyasya kṛteḥ śruti sārapañcaratnasya vyākhyā tattanaya śrīmadrevaṇā siddheśvarātmaja śrī revaṇārādhya viracitā śrīmadveda veda śiraḥ śivāgama purāṇa prabhṛti pracura śāstra prakhyā śrī madvṛṣendra pramukha mukhodgīta rahasyārtha samākhyā śrutyartha prakāśikākhyā vyākhyā parisamāptā || śivamastu śivāya namaḥ svādhīna manasāṃ puṃsāṃ gṛhameva tapovanam | ati rājya sthito yogī janakaḥ sanakādhikaḥ,4 texts
,ilxM00040,Paramārthasāra,,,,,,,,,,,,,,Abhinavagupta,mbP0017,colophon ,,,,
234,M00041,Paramārthasāra Vivṛti,,Chatterji J. C.,,,,,,colophon,,ilxM00040,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Yogarāja,mbP0138,colophon,,,iti śrīmahāmāheśvarācāryābhinavaguptaviracitaḥ paramārthasāraḥ /// saṃpūrṇeyaṃ paramārthasārasaṃgrahavivṛtiḥ kṛtistatrabhavatparamamāheśvaraśrīrājānakayogarājasya,
235,M00218,Parameśvarīmatatantra,,,,,,fragments,chapters from 2 separate texts,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,iti pārameśvarīmate navakoṭisaṃhitāyāṃ caturāśītisahasrameruddhāraḥ caturviṃśatimaḥ paṭalaḥ /// iti śrīkubjikāmateṣaṭpaṃcāśatitamaḥ paṭalaḥ samāptaḥ,towards beginning /// at end
236,M00358,Paraśambhumahimnastava,,,,,,,,,,,,,['tantric / āgamic literature'],Krodhabhaṭṭāraka (Alias),mbP0045,colophon,Mahāmahiman Durvāsas Munīśvara,colophon,iti śrīkrodhabhaṭṭārakāparanāmnā mahāmahimnā durvāsasā munīśvareṇa viracitaparaśaṃbhumahimnastavaḥ saṃpūrṇaḥ,
,ilxM00041,Paraśurāmakalpasūtra,,,,,,,,,,,,,,,,,,,,
237,M00214,Paraśurāmakalpasūtra Vṛtti,,S. Y. Śastri Dave,,,,incomplete,ch. 1-6 copy-pasted twice; after ch. 6: content unclear; ch. 7-to end not found (unlike stated in introduction); lacking explicit+colophon,colophon,,ilxM00041,commentary,including the mūla,['tantric / āgamic literature'],Rāmeśvara,mbP0139,colophon,,,śrīmahātripurasundaryai namaḥ | śrīparaśurāmakalpasūtram rāmeśvarakṛtavṛttisahitam /// iti śrīrāmeśvararacitāyāṃ saubhāgyodayanāmnyāṃ paraśurāmasūtravṛttau prathamakhaṇḍātmakaṃ dīkṣāprakaraṇaṃ samāptam /// atraivakāreṇa (...) | 48 pṛ 26 paṅktyanantaramavaśiṣṭamidaṃ śirṣakam| tantrāntaropasaṃhāravicāraḥ ,at beginning /// in middle /// at end
238,M0311,Parākramapūjā,,,,,,uncertain,yes? - name given by typist,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,no,originally unnamed
239,M00062,Parātantra,,,,,,,9 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrī śrotaśiraśchede mahākaravīrayoge parātantre navamo paṭalaḥ samāpta,
,ilxM00042,Parātriṃśikā,,,,,,,,,,,,,,,,,,,,
240,M0409,Parātriṃśikāvivaraṇa,,,,,,,,colophon,,ilxM00042,commentary,including the mūla,"['tantric / āgamic literature', 'non-dual śaivism of Kashmir']",Abhinavagupta,mbP0017,colophon,,,samāptamidaṃ parātriṃśikātattvavivaraṇam || iti śrīparātriṃśikā samāptā vivṛtiścātra tatrabhavatśrīmanmahāmāheśvarācāryavaryaśrīrmadabhinavaguptācāryaviracitā +TILAKA,
241,M00043,"Parātriśikātātparyadīpikā, Śāktavijñāna",,Zadoo J D,,,,,yes - but only 1st text/name,,,ilxM00042,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'śākta']",Somānanda Ii,mbP0046,catalog,,,iti śrīparātrīśikātātparyadīpikā saṃpūrṇā ,
242,M00044,Parātriśikāvivṛti,version 1,Zadoo J D,M00044=M00215=M00154,exact copy/paste of M00154,,,,,,ilxM00042,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'kaula']",Lakṣmirāma,mbP0047,colophon,Rājānaka Lakṣmirāma,colophon,iti śrīrājānakalakṣmīrāmakṛtā parātrīśikālaghuvivṛtiḥ samāptā || pāṭhakalekhakayoḥ śreyaskarī bhūyāditi,
243,M00215,Parātriśikāvivṛti,version 2,,M00044=M00215=M00154,unclear what this text actually is,,incomplete,lacking incipit+explicit+colophon ,,,ilxM00042,commentary,including the mūla,"['tantric / āgamic literature', 'non-dual śaivism of Kashmir']",Lakṣmirāma,mbP0047,incipit,,, iti śrīparātriṃśikāvivṛtī rājānakalakṣmīrāmaviracitā samāptā || saṃvat 43 kānnatyaikādaśyāṃ likhiteyam ///  sampūrṇamidaṃ mantravivaraṇam,at beginning /// at end
244,M00154,Parātriśikāvivṛti,version 3,Śāstrī M R,M00044=M00215=M00154,exact copy/paste of M00044,,,,,Parātriśikāvivaraṇa,ilxM00042,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Abhinavagupta,mbP0017,colophon,,,samāptamidaṃ parātriṃśikātattvavivaraṇam || iti śrīparātriṃśikā samāptā vivṛtiścātra tatrabhavatśrīmanmahāmāheśvarācāryavaryaśrīrmadabhinavaguptācāryaviracitā +TILAKA,
245,M00042,Parātrīśikālaghuvṛtti,,Śāstrī J Z,,,,,,,,ilxM00042,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kaula']",Abhinavagupta,mbP0017,colophon,,,samāptā iyamanuttaratattvavimarśinī parātrīśikālaghuvṛtti trinayanacaraṇasaroruhācintanalabdhaprasiddhināmabhinavaguptapādānāṃ kṛtiriti śivam + TILAKA,
246,M00357,Parānandasūtra,,Swami Trivikrama Tīrtha,,,,,,,,,,,['tantric / āgamic literature'],Pārānanda,mbP0048,colophon ,Parānanda Muni,catalog,iti pārānandasūtre uttarādhyāye saptamamāhnikam || samāptaṃ cedaṃ pārānandasūtram | samāptā ceyaṃ pārānandamīmāṃsā || ityoṃ ,
247,M00048,Parāprāveśikā,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Kṣemarāja,mbP0049,colophon,,,iti śrīmanmahāmāheśvarācāryavaryakṣemarājaviracitā parāprāveśikā samāptā /// + additional text,
