original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
M00501 - svAtmArAma - AcArasAratantra.htm,svAtmArAma_AcArasAratantra_M00501.xml,M00501,Ācārasāratantra,,"Svātmārāma, Unknown, Unknown, Unknown, Unknown",mbP0100,https://muktabodha-digital-library.org/texts/IAST/M00501,,,,,,collection of excerpts,,Samayācāra,,,,"['tantra / āgama', 'kaula later post 1100 AD']",colophon,,,iti śrīsakalaśāstrasamuccaye svātmārāmayogīndraviracitāyāṃ haṭhapradīpikāyāṃ caturthaḥ upadeśaḥ samāptaḥ /// ityācārasāratantre haragaurīsaṃvāde paramarahasyātirahasyakathane saṃvidākalpe saṃvicchodhanasvīkāravidhiḥ samāptaḥ paṭalaḥ /// iti śrīpārvatīśvarasaṃvāde samayācāraṃ sampūrṇam /// iti śrīrudrayāmale tantre pātravandananavastotraṃ samāptaṃ /// (AT END) ayaṃ strīṇāmatirajonivāraṇamaṃtra iti dvitīyakalpaṃ ca ulūkasya alaṃkṛtaṃ | śubhamastu,5 parts
M00502 - utpaladeva - AjaDapramAtRsiddhi.htm,utpaladeva_AjaDapramAtRsiddhi_M00502.xml,M00502,Ajaḍapramātṛsiddhi Vṛtti,,Hara Śāstrī,mbP0129,https://muktabodha-digital-library.org/texts/IAST/M00502,Madhusudan Kaul Shastri,n,muktabodha/utpaladeva_ajaDapramAtRsiddhiH_M00658.xml,,,,colophon,,ilxM00001,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'pratyabhijñā']",colophon,Haribhaṭṭa Śāstrī,catalog,pramātṛsiddhāv ācāryotpaladevakṛtau manāk candrābdhyaṣṭenduśākābde śāstrī vṛttiṃ haro vyadhāt ity ajaḍapramātṛsiddhau śrīmānmahāmāheśvarācāryotpaladevapādaviracitāyāṃ vṛttiḥ samāptā,
I00018 - AtmArpaNastava.htm,AtmArpaNastava_I00018.xml,I00018,"Ātmārpaṇastava, Śivatatvavivekam, Śrīcakranirmāṇa, Śivajñānabodhopanyāsa",,"Unknown, Unknown, Unknown, Nigamajñānadeśika (I.E. Nigamajñānadeva)",mbP0172,https://muktabodha-digital-library.org/texts/IAST/I00018,,,,,fragments,,,,"ilxM00101, ilxM00102, ilxM00103, ilxM00104",4 texts together in the same file,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",colophon,,,ātmārpaṇastavaḥ samāptaḥ /// śivatatvavivekam /// evaṃ śrīcakranirmāṇavidhiḥ /// iti bālabodhanāya saundaranāthaprītaye vyāghrapuravāsinā nigamajñānadeśikena viracitaśivajñānabodhopanyāsaḥ samāptaḥ,in middle
M00066 - Anandatantra.htm,Anandatantra_M00066.xml,M00066,Ānandatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00066,"Dyczkowski, Mark S. G.",,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti dvātriṃśatkoṭivistīrṇe vidyāsvarūpaṃ nāma viṃśatitamaḥ (or: viṃśatiḥ) paṭalaḥ || ānaṃdataṃtraṃ saṃpūrṇam,
M00624 - AnandezvarapaddhatiH.htm,AnandezvarapaddhatiH_M00624.xml,M00624,Ānandeśvarapaddhatiḥ,,,,https://muktabodha-digital-library.org/texts/IAST/M00624,,,,,,,,,,,,['śaiva'],,,,itivisarjanamaṃtraḥ itikalādīkṣāyāṃrahasyacarcā ityānandeśvarapaddhatiḥsamāptā /// itiśrīrudriyāmaletaṃtrepaṃcamīstavarājaḥsamāptaḥ,in middle /// at end
M00363 - AryamaJjuzrImUlakalpam part 1.htm,AryamaJjuzrImUlakalpam_part_1_M00363.xml,M00363,Āryamañjuśrīmūlakalpam Part 1,,,,https://muktabodha-digital-library.org/texts/IAST/M00363,T. Gaṇapatiśāstrī,,,,,,,,,,,['tantric / āgamic literature'],,,,mahāyānamantracaryānirdeśyamahākalpāt mañjuśrīkumārabhūtabodhisattvavikurvaṇapaṭalavisarāt mūlakalpāt prathamaḥ sannipātaparivartaḥ,in middle
M00364 - AryamaJjuzrImUlakalpam part 2.htm,AryamaJjuzrImUlakalpam_part_2_M00364.xml,M00364,Āryamañjuśrīmūlakalpam Part 2,,,,https://muktabodha-digital-library.org/texts/IAST/M00364,T. Gaṇapatiśāstrī,,,,,,,,,,,['tantric / āgamic literature'],,,,āryamañjuśrīmūlakalpam dvitīyo bhāgaḥ atha trayoviṃśatitamaḥ paṭalavisaraḥ /// āryamañjuśriyamūlakalpāt bodhisattvapiṭakāvataṃsakāt mahāyānavaipulyasūtrāt saptacatvāriṃśatimaḥ paṭalavisarāt tṛtīyaḥ catuḥkumāryopayikasarvasādhanajapaniyamamudrā(-)oṣadhitantramantrasarvakarmapaṭalavisaraṃ parisamāpta iti śubhaṃ bhūyāt,at beginning /// at end
M00365 - AryamaJjuzrImUlakalpam part 3.htm,AryamaJjuzrImUlakalpam_part_3_M00365.xml,M00365,Āryamañjuśrīmūlakalpam Part 3,,,,https://muktabodha-digital-library.org/texts/IAST/M00365,T. Gaṇapatiśāstrī,,,,,,,,,,,['tantric / āgamic literature'],,,,āryamañjuśrīmūlakalpam tṛtīyo bhāgaḥ atha pañcāśaḥ paṭalavisaraḥ /// mahākalparājāt āryamañjuśrīmūlakalpāt (?) hemasādhanapaṭalaḥ visaraḥ parisaraḥ parisamāptaḥ | parisamāptaṃ ca yathāla (?) yasya kalpamiti | svasti śrīrā(?)ṅgalakāvasthitena mārgaśīrṣaśuklā (?) padānakṣatre siṃhasthe'pi gurau mañjuśrīkalpaṃ samāptamiti | śrīmūlaghoṣavihārādhipatinā śrīvo(?) madhyadeśād vinirgatena paṇḍitaravicandreṇa likhitamiti | (?) śubhaṃ bhūyāt,at beginning /// at end
"I00005 - AzIrvAdaparamparA, samudrasnAnavidhi, kAlaprakAzikA, sudhivilocana.htm",AzIrvAdaparamparA_samudrasnAnavidhi_kAlaprakAzikA_sudhivilocana_I00005.xml,I00005,"Āśīrvādaparamparā, Samudrasnānavidhi, Kālaprakāśikā, Sudhivilocana",,,,https://muktabodha-digital-library.org/texts/IAST/I00005,,,,,incomplete/unclear,,,,,,,"['śaiva', 'śaiva-siddhānta']",,,,no,
M00237 - vedajJAna - Azaucyadiipikaa.htm,vedajJAna_Azaucyadiipikaa_M00237.xml,M00237,Āśaucyadipikā,,Vedajñāna,mbP0009,https://muktabodha-digital-library.org/texts/IAST/M00237,,,,,,,,,,,,"['śaiva', 'śaiva-siddhānta']",colophon,,,śaivānāṃ viniyogārthaṃ kṛtācāśaucyadīpikā || iti śrīmadvyāghrapurinivāsi vedajñānadevaśiracitāśaucyadīpikā samāptā,
M00286 - nAgArjuna - AzcaryayogamAlA.htm,nAgArjuna_AzcaryayogamAlA_M00286.xml,M00286,Āścaryayogamālā Laghuvṛtti,,Guṇākara,mbP0130,https://muktabodha-digital-library.org/texts/IAST/M00286,,,,,,,colophon,Yogaratnāvalī,ilxM00006,commentary,including the mūla,['tantric / āgamic literature'],colophon,,,āścaryayogamālānāgārjunaviracitānubhavaprasiddhā | sakalajane hṛdayadayitā samarthitā sūtrato jayati // iti śrīśvetāmbarapaṇḍitaguṇākaraviracitā āścaryayogamālālaghuvṛtti samāptābhūt /// ātmasmaraṇāya mayā vikrītā nāgārjunapraṇīteyaṃ | āścaryayogamālā agre tava vṛddhaṭīkāvaḥ /// iti āścaryayogamālā samāptā (+ further text),
M00012 - sadyojyoti - ASTaprakaraNa tattvatrayanirNaya.htm,sadyojyoti_ASTaprakaraNa_tattvatrayanirNaya_M00012.xml,M00012,Āṣṭaprakaraṇa Tattvatrayanirṇaya Vṛtti,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00012,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00007,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,tattvatrayanirṇayaḥ | sadyojyotiḥ śivācāryapraṇī taḥ | aghoraśivācāryakṛtavṛttisahitaḥ /// ityaghoraśivācāryaviracitā tattvatrayanirṇayavṛttiḥ samāptā,at beginning /// at end
M00010 - bhojadeva - ASTaprakaraNa tattvaprakAza.htm,bhojadeva_ASTaprakaraNa_tattvaprakAza_M00010.xml,M00010,Āṣṭaprakaraṇa Tattvaprakāśa Vṛtti,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00010,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00008,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,śrībhojadevanṛpatiḥ sa śivāgamārthaṃ tattvaprakāśamasamānamidaṃ vyadhatta /// iti bhāradvājakulālaṅkaraṇabhūtena śaṅkarasūnunā vidhivihitasomarasāsvādanaparitoṣiṇā śivāṅghrikamaladvayāsaktamadhukarāyamāṇamānasena śrīmatā śrīkumāreṇa racitā tattvaprakāśatātparyadīpikā paripūrṇā /// iti lakṣadvayādhyāpakaśrīmadaghoraśivācāryaviracitā tattvaprakāśikāvṛttiḥ samāptā,towards end /// at end
M00011 - sadyojyoti - ASTaprakaraNa tattvasaMgraha.htm,sadyojyoti_ASTaprakaraNa_tattvasaMgraha_M00011.xml,M00011,Āṣṭaprakaraṇa Tattvasaṃgraha Ṭīkā,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00011,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00009,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,tattvasaṃgrahaḥ sadyojyotiḥśivācāryapraṇītaḥ aghoraśivācāryakṛtayā ṭīkayā sahitaḥ /// ityavadat tattvāni tu sadyojyotiḥ suvṛttikṛt | iti tattvasaṃgrahaḥ samāptaḥ | ityaghoraśivācāryaviracitā tattvasaṃgrahaṭīkā samāptā,at beginning /// at end
M00007 - rAmakaNTha - ASTaprakaraNa nAdakArikA.htm,rAmakaNTha_ASTaprakaraNa_nAdakArikA_M00007.xml,M00007,Āṣṭaprakaraṇa Nādakārikā Vyākhyā,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00007,Kṛṣṇa Śāstrī,,,,,,*,,ilxM00010,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,iti nādasiddhimenāmakarot śrībhaṭṭarāmakaṇṭho'tra | nārāyaṇakaṇṭhasutaḥ kāśmīre vṛttapañcaviṃśatyā || śrīmadaghoraśivācāryajanyayā'parasaṃjñayā | vyākhyātā nādasiddhiśca prārthitena guruttamaiḥ,
M00008 - sadyojyoti - ASTaprakaraNa paramokSanirAsakArikA.htm,sadyojyoti_ASTaprakaraNa_paramokSanirAsakArikA_M00008.xml,M00008,Āṣṭaprakaraṇa Paramokṣanirāsakārikā Vṛtti,,Rāmakaṇṭha,mbP0013,https://muktabodha-digital-library.org/texts/IAST/M00008,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00011,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,iti sadyojyotiḥśivācāryakṛtā paramokṣanirāsakārikā samāptā ||  itiśrīmadbhaṭṭanārāyaṇakaṇṭhātmajaśrībhaṭṭarāmakaṇṭhaviracitā paramokṣanirāsakārikāvṛttiḥ samāptā,
M00005 - sadyojyoti - ASTaprakaraNa bhogakArikA.htm,sadyojyoti_ASTaprakaraNa_bhogakArikA_M00005.xml,M00005,Āṣṭaprakaraṇa Bhogakārikā Vṛtti,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00005,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00012,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,iha hi tatrabhavadbhiḥ sadyojyotiṣpādaiḥ prakaraṇapratipādyamānaṃ bhogamokṣātmakamarthaṃ sūcayadbhistasyaivā'vighnaparisamāptyarthaṃ prathamaṃ paramaśivanamaskāraḥ kriyate /// ityaghoraśivācāryaviracitā bhogakārikāvṛttiḥ sampūrṇā,at beginning /// at end
M00006 - sadyojyoti - ASTaprakaraNa mokSakArikA.htm,sadyojyoti_ASTaprakaraNa_mokSakArikA_M00006.xml,M00006,Āṣṭaprakaraṇa Mokṣakārikā Vṛtti,,Rāmakaṇṭha,mbP0013,https://muktabodha-digital-library.org/texts/IAST/M00006,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00013,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,mandabuddhiprabodhāya karuṇāviṣṭadhīḥ sphuṭam | sadyojyotistu saṃkṣepāt tāvetau paribaddhavān  /// iti mokṣakārikā samāptā /// iti mokṣakārikāyāṃ nārāyaṇakaṇṭhasūnunā racitā | saṃkṣepād vṛttiriyaṃ śiṣyahitā bhaṭṭarāmakaṇṭhena || iti śrīnārāyaṇakaṇṭhātmajabhaṭṭarāmakaṇṭhakṛtamokṣakārikāvṛttiḥ samāptā,
M00009 - zrIkaNTha - ASTaprakaraNa ratnatrayaparIkSA.htm,zrIkaNTha_ASTaprakaraNa_ratnatrayaparIkSA_M00009.xml,M00009,Āṣṭaprakaraṇa Ratnatrayaparīkṣā Ullekhinī,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00009,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00014,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,ratnatrayaparīkṣeyaṃ kṛtā śrīkaṇṭhasūriṇā | śrīrāmakaṇṭhāsadvṛttiṃ mayaivamanukurvatā | ratnatrayaparīkṣārthaḥ saṃkṣepeṇa prakāśitaḥ | ratnatrayaparīkṣā samāptā | yenākāri kavīśvareṇa rasavānāścaryasārāhvayaḥ pāṣaṇḍāpajayaśca kāvyatilako bhaktaprakāśastathā | nāṭyeṣvabhyudayaśca sundaragirā śaiveṣu sadvṛttaya(-)stenāghoraśivena sādhu racitā ratnatrayollekhinī | ityaghoraśivācāryaviracitā ratnatrayollekhinī sampūrṇā,
M00016 - IzAnazivagurudeva - IzAnazivagurudevapaddhati volume 1.htm,IzAnazivagurudeva_IzAnazivagurudevapaddhati_volume_1_M00016.xml,M00016,Īśānaśivagurudevapaddhati Volume 1,,Īśānaśiva,mbP0015,https://muktabodha-digital-library.org/texts/IAST/M00016,Gaṇapati Śāstrī,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",colophon,Īśānaśivagurudeva,colophon,iti śrīmadīśānaśivagurudevapaddhatau tantrasāre agnikalpavidhirnāma caturdaśaḥ paṭalaḥ || iti sāmānyapādaḥ prathamaḥ samāptaḥ,
M00017 - IzAnazivagurudeva - IzAnazivagurudevapaddhati volume 2.htm,IzAnazivagurudeva_IzAnazivagurudevapaddhati_volume_2_M00017.xml,M00017,Īśānaśivagurudevapaddhati Volume 2,,Īśānaśiva,mbP0015,https://muktabodha-digital-library.org/texts/IAST/M00017,Gaṇapati Śāstrī,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",colophon,Īśānaśivagurudeva,colophon,iti śīmadīśānaśivagurudevapaddhatau tantrasāre mantrapāde yuddhajaitrakarmādividhipaṭalo dvipañcāśaḥ || iti mantrapādo dvitīyaḥ samāptaḥ | samāptaṃ ca pūrvārdham,
M00018 - IzAnazivagurudeva - IzAnazivagurudevapaddhati volume 3.htm,IzAnazivagurudeva_IzAnazivagurudevapaddhati_volume_3_M00018.xml,M00018,Īśānaśivagurudevapaddhati Volume 3,,Īśānaśiva,mbP0015,https://muktabodha-digital-library.org/texts/IAST/M00018,Gaṇapati Śāstrī,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",colophon,Īśānaśivagurudeva,colophon,iti śrīmadīśānaśivagurudevapaddhatau sidhāntasāre uparibhāge kriyāpāde jātyādivimānavibhāgopapīṭhavidhipaṭalastriṃśaḥ,
M00233 - IzAnazivagurudeva - IzAnazivagurudevapaddhati volume 4.htm,IzAnazivagurudeva_IzAnazivagurudevapaddhati_volume_4_M00233.xml,M00233,Īśānaśivagurudevapaddhati Volume 4,,Īśānaśiva,mbP0015,https://muktabodha-digital-library.org/texts/IAST/M00233,Gaṇapati Śāstrī,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",colophon,Īśānaśivagurudeva,colophon,iti śrīmadīśānaśivagurudevapaddhatau siddhāntasāre uparibhāge yogapāde prāṇāyāmādipaṭalastṛtīyaḥ | yogapādaḥ samāptaḥ] || samāptā ceyamīśānaśivagurudevasya kṛtiḥ siddhāntasārapaddhatiḥ ||,
M00053 - bhaTTAraka sundara - IzvarapratyabhijJAkaumudI.htm,bhaTTAraka_sundara_IzvarapratyabhijJAkaumudI_M00053.xml,M00053,Īśvarapratyabhijñākaumudī,,Bhaṭṭāraka,mbP0016,https://muktabodha-digital-library.org/texts/IAST/M00053,,,,,,,colophon,,ilxM00019,commentary,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",colophon,Bhaṭṭāraka Sundara,colophon,iti śrīmadudpaladevaracitapratyabhijñāyī sūtrāvali śrīmadbhirava āptaracitasūtravimarśinyīḥ śrīmadbhaṭṭārakasundarīdāsenau tu jātijadmināsākṣācchaṅkarāvatāra śrīmacchrīvidyāpārijāta śrīmacchrīśaṅkarācāryavarya putramaṇinādviśatasaṅkhyāyāḥ ślokāvalyāḥ viracitākaumudī pratyabhijñākaumudyākhyāsamāptī kṛteti śivasambhusambhunāthasādhakānāṃ parāprāmādamantrodyatsamastaparamārthatatvānāṃ pāramārtha vidāṃceti śubham // pratyabhijñākaumidīsamāptā śrīmadbhaṭṭārakaracitā || saṃ 74 śrāvaṇe kṛṣṇapakṣe saptamyāṃ revatyāṃ saubhāgyaviṣkambhe phaṭtra?yoge ca | āccike lagne ca samāptiṃ gatā pratyabhijñā kaumudī ||,
M00197 - IzvarapratyabhijJAvimarzinIvyAkhyA.htm,IzvarapratyabhijJAvimarzinIvyAkhyA_M00197.xml,M00197,Īśvarapratyabhijñāvimarśinīvyākhyā,,,,https://muktabodha-digital-library.org/texts/IAST/M00197,,,,,,,colophon,,"ilxM00019, M00019",sub-commentary,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,iti śrīmadācāryotpaladevaviracitāyāmīśvarapratyabhijñāyāṃ śrīmadācāryābhinavaguptaviracitavimarśinyākhyaṭīkopetāyāṃ tattvasaṅgrahādhikāraḥ | samāptā śrīmadīśvarapratyabhijñā || AT END - śrīpratyabhijñāsūtravimarśinī vyākhyā samāptā,
M00019 - abhinavagupta - IzvarapratyabhijJAvimarzinI.htm,abhinavagupta_IzvarapratyabhijJAvimarzinI_M00019.xml,M00019,Īśvarapratyabhijñāvimarśinī,,Abhinavagupta,mbP0017,https://muktabodha-digital-library.org/texts/IAST/M00019,"Pandey, K. C.",,,,,,colophon,,ilxM00019,commentary,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",colophon,Śrīmadācārya Abhinavagupta,colophon,iti śrīmadācāryotpaladevaviracitāyāmīśvarapratyabhijñāyāṃ śrīmadācāryābhinavaguptaviracitavimarśinyākhyaṭīkopetāyāṃ tattvasaṅgrahādhikāraḥ || samāptā śrīmadīśvarapratyabhijñā || FURTHER - iti pratyabhijñāsūtravimarśinīvyākhyā samāptā,
M00020 - abhinavagupta - IzvarapratyabhijJAvivRtivimarzinI volume 1.htm,abhinavagupta_IzvarapratyabhijJAvivRtivimarzinI_volume_1_M00020.xml,M00020,Īśvarapratyabhijñāvivṛtivimarśinī Volume 1,,Abhinavagupta,mbP0017,https://muktabodha-digital-library.org/texts/IAST/M00020,Śāstrī M. K.,,,,,,colophon,,ilxM00019,commentary,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",colophon,Śrīmahāmāheśvaraśrīmadācārya Abhinavagupta,colophon,iti śrīmahāmāheśvaraśrīmadācāryābhinavaguptaviracitāyāmīśvarapratyabhijñāvivṛtivimarśinyāṃ jñānādhikāre paradarśanānupapattivimarśastṛtīyaḥ,
M00021 - abhinavagupta - IzvarapratyabhijJAvivRtivimarzinI volume 2.htm,abhinavagupta_IzvarapratyabhijJAvivRtivimarzinI_volume_2_M00021.xml,M00021,Īśvarapratyabhijñāvivṛtivimarśinī Volume 2,,Abhinavagupta,mbP0017,https://muktabodha-digital-library.org/texts/IAST/M00021,Śāstrī M. K.,,,,,,colophon,,ilxM00019,commentary,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",colophon,Śrīmahāmāheśvaraśrīmadācārya Abhinavagupta,colophon,spandakārikā vivṛti,
M00022 - abhinavagupta - IzvarapratyabhijJAvivRtivimarzinI volume 3.htm,abhinavagupta_IzvarapratyabhijJAvivRtivimarzinI_volume_3_M00022.xml,M00022,Īśvarapratyabhijñāvivṛtivimarśinī Volume 3,,Abhinavagupta,mbP0017,https://muktabodha-digital-library.org/texts/IAST/M00022,Śāstrī M. K.,,,,,,colophon,,ilxM00019,commentary,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",colophon,Śrīmahāmāheśvaraśrīmadācārya Abhinavagupta,colophon,iti mahāmāheśvaraśrīmadācāryābhinavaguptaviracitāyāmīśvarapratyabhijñāvivṛtivimarśinyāṃ samastanigamanaṃ caturtho vimarśaḥ || samāptā ca iyamīśvarapratyabhijñāvivṛtivimarśinī || kṛtiḥ śrītrinayanacaraṇacintanalabdhaprasiddhīnāmabhinavaguptapādānām ||,
M00660 - utpaladeva - IzvarasiddhiH.htm,utpaladeva_IzvarasiddhiH_M00660.xml,M00660,Īśvarasiddhi,,Utpaladeva,mbP0002,https://muktabodha-digital-library.org/texts/IAST/M00660,M Kaul,y,,,,lacks first verse,,Siddhitrayī,,,,"['tantric / āgamic literature', 'non-dual śaivism of Kashmir']",colophon,Mahāmāheśvarācārya Utpaladeva,colophon,iti śrīmanmahāmāheśvarācāryotpaladevenodayākarasūnunā viracitā īśvarasiddhiḥ samāptā || śrīmatkaśmīrabhūbharturājñayā prītaye satām | madhusūdanakaulena saṃpādyeyaṃ prakāśitā ||,
M00023 - utpaladeva - Izvarasiddhi.htm,utpaladeva_Izvarasiddhi_M00023.xml,M00023,Īśvarasiddhi,,Utpaladeva,mbP0002,https://muktabodha-digital-library.org/texts/IAST/M00023,Śastrī M Kaul,n,muktabodha/utpaladeva_IzvarasiddhiH_M00660.xml,,,,,Siddhitrayī,,,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",colophon,Mahāmāheśvarācārya Utpaladeva,colophon,iti śrīmanmahāmāheśvarācāryotpaladevenodayākarasūnunā viracitā īśvarasiddhiḥ samāptā || śrīmatkaśmīrabhūbharturājñayā prītaye satām | madhusūdanakaulena saṃpādyeyaṃ prakāśitā ||,
M00420 - ugracaNDapUjApaddhati.htm,ugracaNDapUjApaddhati_M00420.xml,M00420,Ugracaṇḍapūjāpaddhati,,,,https://muktabodha-digital-library.org/texts/IAST/M00420,,,,,incomplete,,,,,,,"['tantra / āgama', 'śākta', 'Paddhati']",,,,iti ugracaṇḍā ugracaṇḍī siddhilakṣmī guhyakāli devārcanavidhi samāpta,in middle
M00419 - ucchiSTacANDAlinIkalpa.htm,ucchiSTacANDAlinIkalpa_M00419.xml,M00419,Ucchiṣṭacāṇḍālinīkalpa,,,,https://muktabodha-digital-library.org/texts/IAST/M00419,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantra / āgama', 'śākta']",,,,ugrarudrayāmūle rudrapārvati saṃvāde śrīsāradātilake ucciddhiṣṭacāṇḍālinī kalpaviṃsāṃ talīṣyane /// iti śrīvisvasāro ucāramahādevatraṇītaṃ śrīpārvatiyodhasanmukhī kalpaṃ samāptaḥ,at beginning /// towards end
M00169 - uDDAmezvaratantra.htm,uDDAmezvaratantra_M00169.xml,M00169,Uḍḍāmeśvaratantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00169,Zadoo J. D.,,,,,15 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti śrīśivaprokte vīrabhadreśvaratantroddhṛte uḍḍāmareśvaramahātantre pañcadaśaḥ paṭalaḥ samāptamidam,
M00247 - uddhArakoza.htm,uddhArakoza_M00247.xml,M00247,Uddhārakośa,A Dictionary of the Secret Tantric Syllabic Code,Śrī Dakṣiṇāmūrti,mbP0144,https://muktabodha-digital-library.org/texts/IAST/M00247,Taki Shodo,,,,,,,,,,,['tantric / āgamic literature'],colophon,,,iti śrīdakṣiṇāmūrti viracita uddhārakośe sakalāgama sāre ṣoḍaśa devī saptadevī sapta kumāra nava graha catasṛ devī kośa dhyāna nirṇayo nāma saptamaḥ kalpaḥ,
M00275 - unmattabhairava.htm,unmattabhairava_M00275.xml,M00275,Unmattabhairava,,,,https://muktabodha-digital-library.org/texts/IAST/M00275,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,hariḥ oṃ tatsatpārameśvaratantre vārāṇasī paṭale unmattabhairavopākhyāne gururudrasaṃvāde śrī unmatta bhairavahṛdayaṃ samāptam,
M00276 - umAsaMhitA.htm,umAsaMhitA_M00276.xml,M00276,Umāsaṃhitā,,,,https://muktabodha-digital-library.org/texts/IAST/M00276,,,,,incomplete,,,,,,,['vaiṣṇava'],,,,ityumā saṃhitāyāṃ dvitīyodhyāyaḥ,in middle
M00421 - UrddhvAmnAya damanArohaNapaddhati.htm,UrddhvAmnAya_damanArohaNapaddhati_M00421.xml,M00421,Ūrddhvāmnāya Damanārohaṇapaddhati,,,,https://muktabodha-digital-library.org/texts/IAST/M00421,,,,,,,,,,,,"['tantra / āgama', 'śākta', 'Paddhati']",,,,iti śrīurddhāmnāya pakaranadamanā rohanavidhi samāpta,
M00422 - UrddhvAmnAyapUjAvidhi.htm,UrddhvAmnAyapUjAvidhi_M00422.xml,M00422,Ūrddhvāmnāyapūjāvidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00422,,,,,,,,,,,,"['tantra / āgama', 'śākta']",,,,iti uddhamata suṣmaparddhati samāpta,
M00640 - UrdhvAmnAya.htm,UrdhvAmnAya_M00640.xml,M00640,Ūrdhvāmnāya,,,,https://muktabodha-digital-library.org/texts/IAST/M00640,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,kasyacinnamayākhyātamitaḥpūrvaṃkuleśvari kathayāmitavasnehāndūrdhvāmnāyaṃśṛṇupriye,at beginning
